"x","y"
799,113
800,150
801,57
802,75
803,86
804,147
805,57
806,76
807,50
808,219
809,70
810,50
811,172
812,180
813,64
814,47
815,55
816,53
817,51
818,50
819,79
820,69
821,50
822,40
823,40
824,55
825,47
826,49
827,46
828,118
829,1
830,46
831,47
832,39
833,37
834,41
835,40
836,35
837,51
838,50
839,37
840,36
841,38
842,49
843,44
844,47
845,40
846,50
847,49
848,47
849,35
850,51
851,1
852,1
853,42
854,41
855,55
856,60
857,42
858,1
859,40
860,63
861,44
862,42
863,42
864,1
865,70
866,49
867,48
868,61
869,48
870,57
871,236
872,70
873,61
874,50
875,1
876,50
877,246
878,294
879,65
880,141
881,91
882,180
883,66
884,68
885,59
886,45
887,47
888,141
889,90
890,48
891,69
892,42
893,39
894,38
895,40
896,60
897,48
898,43
899,41
900,45
901,44
902,41
903,344
904,135
905,63
906,111
907,48
908,62
909,64
910,365
911,40
912,132
913,57
914,49
915,180
916,61
917,51
918,46
919,60
920,52
921,185
922,219
923,128
924,55
925,177
926,68
927,67
928,48
929,77
930,67
931,51
932,1
933,80
934,215
935,120
936,44
937,1
938,50
939,141
940,47
941,60
942,48
943,317
944,75
945,46
946,60
947,55
948,47
949,1
950,44
951,53
952,39
953,1
954,44
955,46
956,47
957,60
958,40
959,40
960,56
961,36
962,63
963,41
964,47
965,69
966,49
967,42
968,39
969,47
970,43
971,45
972,54
973,46
974,48
975,51
976,49
977,39
978,48
979,46
980,41
981,44
982,40
983,53
984,44
985,49
986,51
987,44
988,51
989,65
990,45
991,51
992,68
993,268
994,294
995,141
996,215
997,48
998,64
999,1
1000,36
1001,46
1002,41
1003,38
1004,35
1005,37
1006,41
1007,40
1008,137
1009,47
1010,167
1011,188
1012,211
1013,150
1014,44
1015,65
1016,1
1017,148
1018,48
1019,524
1020,88
1021,56
1022,54
1023,39
1024,43
1025,46
1026,1
1027,76
1028,92
1029,156
1030,106
1031,49
1032,49
1033,54
1034,78
1035,124
1036,113
1037,75
1038,207
1039,64
1040,174
1041,67
1042,152
1043,34
1044,64
1045,62
1046,56
1047,55
1048,50
1049,53
1050,182
1051,274
1052,57
1053,51
1054,154
1055,160
1056,51
1057,49
1058,1
1059,188
1060,48
1061,46
1062,47
1063,48
1064,44
1065,165
1066,44
1067,54
1068,73
1069,172
1070,54
1071,51
1072,43
1073,1
1074,39
1075,37
1076,36
1077,1
1078,37
1079,38
1080,56
1081,31
1082,33
1083,43
1084,39
1085,42
1086,39
1087,39
1088,1
1089,53
1090,44
1091,36
1092,1
1093,35
1094,36
1095,33
1096,45
1097,39
1098,42
1099,36
1100,40
1101,1
1102,39
1103,33
1104,38
1105,43
1106,36
1107,34
1108,37
1109,42
1110,53
1111,54
1112,95
1113,49
1114,262
1115,49
1116,68
1117,38
1118,33
1119,37
1120,48
1121,1
1122,42
1123,37
1124,38
1125,43
1126,30
1127,36
1128,48
1129,38
1130,36
1131,34
1132,63
1133,54
1134,45
1135,204
1136,150
1137,68
1138,231
1139,154
1140,48
1141,135
1142,207
1143,215
1144,62
1145,268
1146,101
1147,61
1148,49
1149,51
1150,59
1151,211
1152,55
1153,156
1154,78
1155,71
1156,44
1157,44
1158,46
1159,42
1160,48
1161,44
1162,41
1163,64
1164,1
1165,145
1166,58
1167,47
1168,105
1169,62
1170,174
1171,55
1172,89
1173,50
1174,804
1175,66
1176,95
1177,47
1178,59
1179,86
1180,53
1181,107
1182,67
1183,41
1184,48
1185,45
1186,67
1187,105
1188,46
1189,39
1190,43
1191,48
1192,50
1193,50
1194,48
1195,39
1196,44
1197,47
1198,39
1199,42
1200,40
1201,51
1202,45
1203,45
1204,50
1205,47
1206,38
1207,41
1208,41
1209,56
1210,38
1211,42
1212,35
1213,38
1214,48
1215,39
1216,39
1217,42
1218,41
1219,33
1220,39
1221,35
1222,52
1223,1
1224,38
1225,44
1226,58
1227,37
1228,39
1229,47
1230,71
1231,53
1232,54
1233,73
1234,50
1235,94
1236,65
1237,43
1238,74
1239,102
1240,43
1241,47
1242,37
1243,39
1244,46
1245,1
1246,51
1247,42
1248,84
1249,84
1250,48
1251,64
1252,152
1253,73
1254,88
1255,112
1256,46
1257,48
1258,344
1259,53
1260,46
1261,49
1262,48
1263,47
1264,46
1265,365
1266,104
1267,77
1268,55
1269,251
1270,344
1271,61
1272,51
1273,79
1274,154
1275,87
1276,191
1277,63
1278,53
1279,55
1280,72
1281,59
1282,51
1283,62
1284,61
1285,365
1286,59
1287,60
1288,55
1289,113
1290,80
1291,43
1292,38
1293,50
1294,46
1295,41
1296,50
1297,60
1298,46
1299,53
1300,51
1301,40
1302,50
1303,64
1304,1
1305,44
1306,51
1307,46
1308,25
1309,41
1310,38
1311,39
1312,45
1313,46
1314,49
1315,39
1316,43
1317,46
1318,1
1319,41
1320,44
1321,39
1322,42
1323,44
1324,39
1325,39
1326,39
1327,51
1328,39
1329,45
1330,44
1331,39
1332,50
1333,37
1334,41
1335,53
1336,62
1337,40
1338,43
1339,38
1340,56
1341,50
1342,41
1343,44
1344,45
1345,68
1346,126
1347,236
1348,128
1349,137
1350,47
1351,36
1352,82
1353,223
1354,376
1355,65
1356,110
1357,34
1358,75
1359,98
1360,56
1361,51
1362,52
1363,76
1364,60
1365,45
1366,32
1367,49
1368,47
1369,37
1370,39
1371,41
1372,34
1373,49
1374,37
1375,72
1376,123
1377,60
1378,78
1379,287
1380,54
1381,165
1382,177
1383,59
1384,85
1385,92
1386,72
1387,60
1388,57
1389,54
1390,50
1391,73
1392,147
1393,231
1394,74
1395,57
1396,83
1397,143
1398,34
1399,41
1400,42
1401,64
1402,227
1403,128
1404,51
1405,98
1406,106
1407,56
1408,73
1409,76
1410,126
1411,52
1412,62
1413,335
1414,71
1415,58
1416,177
1417,50
1418,63
1419,51
1420,87
1421,51
1422,50
1423,52
1424,50
1425,43
1426,44
1427,88
1428,51
1429,50
1430,43
1431,53
1432,23
1433,48
1434,53
1435,42
1436,64
1437,57
1438,56
1439,1
1440,52
1441,43
1442,47
1443,41
1444,53
1445,50
1446,44
1447,53
1448,56
1449,40
1450,42
1451,41
1452,39
1453,52
1454,45
1455,43
1456,51
1457,44
1458,41
1459,46
1460,51
1461,52
1462,39
1463,40
1464,41
1465,40
1466,41
1467,49
1468,46
1469,49
1470,43
1471,36
1472,49
1473,40
1474,55
1475,45
1476,49
1477,42
1478,48
1479,68
1480,47
1481,40
1482,49
1483,58
1484,47
1485,56
1486,34
1487,158
1488,365
1489,57
1490,197
1491,138
1492,49
1493,32
1494,45
1495,57
1496,66
1497,194
1498,145
1499,241
1500,126
1501,60
1502,54
1503,49
1504,105
1505,51
1506,59
1507,59
1508,70
1509,71
1510,219
1511,37
1512,73
1513,57
1514,42
1515,46
1516,49
1517,48
1518,46
1519,50
1520,49
1521,36
1522,80
1523,75
1524,156
1525,51
1526,185
1527,72
1528,57
1529,110
1530,110
1531,58
1532,54
1533,103
1534,62
1535,185
1536,114
1537,51
1538,48
1539,45
1540,51
1541,45
1542,92
1543,45
1544,53
1545,43
1546,46
1547,50
1548,53
1549,47
1550,85
1551,274
1552,45
1553,46
1554,45
1555,115
1556,344
1557,317
1558,1
1559,180
1560,45
1561,241
1562,44
1563,76
1564,67
1565,36
1566,41
1567,42
1568,39
1569,49
1570,1
1571,41
1572,52
1573,32
1574,38
1575,45
1576,37
1577,35
1578,36
1579,55
1580,34
1581,1
1582,39
1583,40
1584,1
1585,39
1586,41
1587,1
1588,36
1589,41
1590,1
1591,43
1592,1
1593,41
1594,42
1595,1
1596,46
1597,92
1598,49
1599,1
1600,34
1601,1
1602,31
1603,46
1604,36
1605,49
1606,138
1607,55
1608,182
1609,287
1610,112
1611,162
1612,84
1613,223
1614,182
1615,61
1616,55
1617,55
1618,50
1619,48
1620,50
1621,53
1622,50
1623,54
1624,52
1625,49
1626,49
1627,49
1628,50
1629,44
1630,129
1631,60
1632,61
1633,219
1634,82
1635,65
1636,65
1637,47
1638,62
1639,177
1640,63
1641,63
1642,219
1643,126
1644,118
1645,86
1646,74
1647,55
1648,135
1649,167
1650,67
1651,57
1652,60
1653,58
1654,55
1655,52
1656,52
1657,46
1658,1
1659,53
1660,54
1661,47
1662,67
1663,45
1664,51
1665,415
1666,50
1667,63
1668,241
1669,134
1670,82
1671,109
1672,102
1673,90
1674,145
1675,58
1676,158
1677,41
1678,66
1679,60
1680,52
1681,72
1682,63
1683,62
1684,52
1685,43
1686,48
1687,55
1688,49
1689,60
1690,48
1691,49
1692,50
1693,46
1694,45
1695,45
1696,44
1697,55
1698,46
1699,50
1700,45
1701,50
1702,46
1703,59
1704,45
1705,47
1706,49
1707,36
1708,56
1709,58
1710,65
1711,51
1712,43
1713,54
1714,430
1715,40
1716,49
1717,50
1718,45
1719,51
1720,57
1721,59
1722,81
1723,106
1724,99
1725,60
1726,86
1727,54
1728,51
1729,58
1730,50
1731,73
1732,41
1733,59
1734,45
1735,47
1736,45
1737,49
1738,46
1739,48
1740,46
1741,80
1742,57
1743,53
1744,402
1745,603
1746,68
1747,201
1748,211
1749,69
1750,68
1751,120
1752,63
1753,174
1754,56
1755,50
1756,51
1757,63
1758,53
1759,66
1760,241
1761,72
1762,309
1763,73
1764,64
1765,73
1766,231
1767,107
1768,58
1769,59
1770,207
1771,57
1772,57
1773,46
1774,61
1775,58
1776,251
1777,60
1778,61
1779,48
1780,44
1781,48
1782,55
1783,49
1784,54
1785,53
1786,45
1787,49
1788,48
1789,60
1790,53
1791,46
1792,41
1793,50
1794,53
1795,40
1796,38
1797,52
1798,42
1799,40
1800,40
1801,246
1802,40
1803,47
1804,42
1805,1
1806,45
1807,56
1808,45
1809,43
1810,42
1811,55
1812,49
1813,38
1814,58
1815,51
1816,41
1817,42
1818,42
1819,72
1820,41
1821,39
1822,43
1823,37
1824,71
1825,204
1826,44
1827,152
1828,197
1829,67
1830,215
1831,134
1832,389
1833,45
1834,38
1835,49
1836,50
1837,51
1838,54
1839,71
1840,42
1841,1
1842,165
1843,309
1844,43
1845,98
1846,70
1847,446
1848,1
1849,46
1850,45
1851,38
1852,111
1853,246
1854,191
1855,82
1856,38
1857,46
1858,42
1859,67
1860,51
1861,45
1862,54
1863,87
1864,40
1865,94
1866,118
1867,54
1868,106
1869,53
1870,57
1871,52
1872,66
1873,294
1874,108
1875,156
1876,50
1877,50
1878,54
1879,65
1880,150
1881,57
1882,69
1883,68
1884,52
1885,51
1886,55
1887,54
1888,201
1889,52
1890,49
1891,63
1892,154
1893,50
1894,47
1895,46
1896,38
1897,50
1898,39
1899,48
1900,48
1901,40
1902,42
1903,51
1904,44
1905,51
1906,52
1907,59
1908,37
1909,36
1910,46
1911,41
1912,44
1913,48
1914,40
1915,43
1916,52
1917,1
1918,43
1919,49
1920,1
1921,39
1922,49
1923,48
1924,68
1925,1
1926,44
1927,41
1928,44
1929,46
1930,38
1931,31
1932,44
1933,35
1934,48
1935,51
1936,1
1937,31
1938,40
1939,1
1940,124
1941,317
1942,246
1943,134
1944,376
1945,76
1946,52
1947,40
1948,39
1949,48
1950,58
1951,63
1952,145
1953,45
1954,36
1955,48
1956,42
1957,35
1958,36
1959,46
1960,50
1961,43
1962,44
1963,60
1964,38
1965,69
1966,103
1967,98
1968,62
1969,90
1970,98
1971,46
1972,256
1973,41
1974,41
1975,44
1976,37
1977,44
1978,44
1979,75
1980,49
1981,51
1982,61
1983,53
1984,79
1985,70
1986,38
1987,61
1988,90
1989,241
1990,69
1991,47
1992,71
1993,66
1994,88
1995,35
1996,91
1997,54
1998,72
1999,60
2000,59
2001,54
2002,49
2003,54
2004,52
2005,482
2006,125
2007,58
2008,182
2009,67
2010,50
2011,56
2012,47
2013,43
2014,39
2015,37
2016,44
2017,47
2018,51
2019,34
2020,40
2021,48
2022,39
2023,57
2024,41
2025,54
2026,48
2027,47
2028,53
2029,43
2030,41
2031,40
2032,46
2033,47
2034,45
2035,48
2036,46
2037,1
2038,32
2039,37
2040,47
2041,44
2042,57
2043,41
2044,54
2045,48
2046,40
2047,46
2048,44
2049,37
2050,36
2051,43
2052,53
2053,46
2054,119
2055,77
2056,197
2057,56
2058,44
2059,43
2060,35
2061,1
2062,354
2063,231
2064,80
2065,48
2066,47
2067,177
2068,45
2069,43
2070,43
2071,42
2072,62
2073,41
2074,44
2075,33
2076,46
2077,35
2078,86
2079,32
2080,430
2081,54
2082,47
2083,35
2084,42
2085,36
2086,41
2087,167
2088,43
2089,172
2090,51
2091,58
2092,71
2093,99
2094,48
2095,56
2096,68
2097,33
2098,39
2099,30
2100,47
2101,47
2102,45
2103,43
2104,1
2105,132
2106,246
2107,100
2108,41
2109,1
2110,43
2111,46
2112,32
2113,34
2114,50
2115,138
2116,45
2117,158
2118,46
2119,1
2120,1
2121,43
2122,48
2123,35
2124,45
2125,42
2126,43
2127,63
2128,47
2129,47
2130,131
2131,1
2132,94
2133,73
2134,50
2135,56
2136,56
2137,140
2138,99
2139,36
2140,1
2141,44
2142,132
2143,227
2144,54
2145,46
2146,46
2147,39
2148,39
2149,41
2150,1
2151,33
2152,48
2153,39
2154,1
2155,40
2156,1
2157,33
2158,42
2159,49
2160,54
2161,36
2162,39
2163,36
2164,36
2165,1
2166,35
2167,35
2168,34
2169,51
2170,34
2171,1
2172,41
2173,35
2174,160
2175,107
2176,119
2177,72
2178,63
2179,88
2180,55
2181,1
2182,117
2183,111
2184,57
2185,91
2186,77
2187,93
2188,74
2189,132
2190,287
2191,49
2192,76
2193,98
2194,574
2195,280
2196,110
2197,219
2198,51
2199,50
2200,53
2201,1
2202,37
2203,45
2204,45
2205,49
2206,40
2207,50
2208,43
2209,167
2210,35
2211,32
2212,46
2213,42
2214,43
2215,182
2216,143
2217,84
2218,344
2219,309
2220,50
2221,115
2222,231
2223,56
2224,50
2225,51
2226,48
2227,68
2228,54
2229,223
2230,68
2231,309
2232,45
2233,69
2234,236
2235,140
2236,197
2237,103
2238,121
2239,94
2240,80
2241,365
2242,92
2243,73
2244,211
2245,165
2246,77
2247,197
2248,256
2249,77
2250,227
2251,109
2252,147
2253,56
2254,60
2255,41
2256,38
2257,1
2258,47
2259,43
2260,39
2261,44
2262,36
2263,90
2264,45
2265,60
2266,1
2267,38
2268,40
2269,43
2270,34
2271,39
